u,g,r,i,z,redshift
18.37726,16.50325,15.66489,15.27984,14.94673,0.03595836
25.12959,22.09925,21.36894,21.14681,21.14796,3.415092
22.1214,21.78906,20.85059,19.74561,19.30584,0.7020183
24.67044,23.73711,22.84613,22.06608,22.33128,0.7620412
19.20981,19.0699,18.76953,18.6829,18.62257,1.255802
19.55655,17.62109,16.67881,16.24748,15.91453,0.09699629
18.52474,17.22524,16.61187,16.25112,16.01357,0.05799811
21.17735,20.76273,20.6267,20.36242,20.28534,1.695487
18.07359,17.97837,17.78964,17.85084,17.37014,0.3077231
23.09882,20.51492,18.8798,18.25764,18.01265,0.34342
22.68799,20.66835,18.94148,18.3376,17.95553,0.3753738
20.80623,18.86811,17.47726,16.95354,16.6198,0.2377365
19.15955,17.38663,16.4732,16.06808,15.74967,0.0974723
18.65647,17.71348,17.29275,17.1027,16.93822,0.01143036
26.82342,20.81035,19.68785,18.76409,18.46377,0.6171558
22.79732,21.04289,19.25339,18.55581,18.18425,0.3665065
17.90775,16.52994,16.01731,15.83119,15.76161,0.0001044085
20.3189,19.30031,18.89736,18.89614,18.75322,0.0001058475
22.48467,23.55174,22.07777,20.97708,19.96741,-0.000207898
21.33506,20.58984,19.69392,18.8331,18.56291,0.2328887
24.42944,20.87017,19.7981,19.647,19.59535,3.748858
21.38524,20.10962,19.50015,19.2693,19.18388,-5.001855e-05
20.24809,18.13027,16.961,16.47835,16.15284,0.1800082
25.65993,22.73988,21.35985,20.09314,19.85793,0.6631711
21.91276,22.40335,21.91204,22.22449,22.41233,1.478484
22.35531,21.75291,20.86369,20.06598,20.02948,0.6416013
19.74002,18.11823,17.29552,16.93244,16.64668,0.09667698
22.80514,20.03261,18.45309,17.85871,17.45381,0.0
23.0209,22.03285,21.80394,21.76744,22.13109,0.08226115
18.39799,17.08887,16.57016,16.35836,16.2274,-0.0001675535
23.11416,22.06873,20.26257,19.37329,18.88811,0.4525679
22.50912,22.22562,22.08776,22.01451,21.67271,1.318593
22.18509,21.24844,21.34464,21.51082,21.01618,2.494854
20.97678,20.306,20.26122,20.17475,19.9184,2.396419
19.64333,17.80184,16.91774,16.51586,16.20957,0.06998172
23.33794,22.26082,21.02538,19.85147,19.38769,0.5326203
23.01807,21.02516,19.22236,18.43887,18.0478,0.4299808
23.59882,21.93919,21.72034,21.74881,21.4774,-0.0005365734
25.99475,23.05332,21.31766,20.31236,19.74027,0.5862015
20.17163,19.2767,18.89702,18.81854,18.73848,0.000619134
19.34931,17.55347,16.66485,16.20266,15.82416,0.04683745
19.80575,19.20799,19.32607,19.42988,19.7511,5.454903e-05
24.1359,21.26912,19.65691,18.67713,18.03961,0.4958568
23.24276,22.28307,20.70565,19.69086,19.22752,0.5475659
19.93509,19.37034,19.28941,19.25778,19.21922,0.6884256
24.77732,22.19315,20.96789,20.72901,21.08592,3.670814
26.21997,22.21255,20.18658,19.07506,18.52954,0.5815229
19.21371,17.83238,16.94532,16.53657,16.20161,0.1515211
18.92564,18.03671,17.69518,17.57629,17.53405,-1.365195e-05
23.10995,22.22857,20.34938,19.34804,18.86656,0.5062889
24.09418,21.45549,19.5968,18.86555,18.40431,0.44081
25.375,21.92168,20.66692,19.68329,19.18006,0.522604
22.00862,21.862,21.61817,21.62473,21.81498,1.303193
21.33924,22.1345,21.30633,20.71706,19.96674,0.5811517
19.619,17.63054,16.72513,16.25244,15.86739,0.09601203
22.11367,20.02339,18.47584,17.92019,17.50528,0.2816984
23.19289,22.11414,21.90164,22.01562,21.87486,-0.0003751374
18.52861,17.54678,17.15714,16.97366,16.92263,-0.000151395
21.50466,21.40392,20.7985,21.01842,20.96506,1.138416
21.60446,20.3667,20.49747,20.72578,20.72698,1.049244e-05
20.22441,19.42126,19.00481,18.55893,18.50562,0.1097086
26.66859,23.03134,22.03217,20.47862,19.59909,0.6031853
24.33584,23.85212,22.05364,20.70854,19.73913,0.7239687
23.17756,25.06311,22.25102,20.59436,19.79357,0.7290747
22.97753,21.34163,20.76747,20.54329,20.79023,0.2757283
19.73412,18.0987,17.33614,16.86415,16.51486,0.05258276
21.81535,21.17291,20.19271,19.38573,19.17434,0.4915424
18.16425,17.01608,17.08106,17.19621,17.27843,0.0006443304
23.78614,23.02111,22.41633,21.71859,21.27353,0.7561904
22.43317,21.55346,19.65192,18.74809,18.27797,0.4766415
21.81457,19.83219,18.95993,18.60217,18.38384,-0.0002097015
21.03702,18.6807,17.28465,16.76182,16.40195,0.2218006
22.69998,23.1281,22.03231,20.67586,19.88454,0.7604796
23.93968,22.02071,20.30136,19.0641,18.60822,0.5857536
24.58289,21.79496,19.93057,19.09981,18.58456,0.459566
23.30624,25.05015,21.85506,20.79844,19.72051,0.7633549
18.34204,16.93724,16.40852,16.22447,16.16585,-0.0002544863
24.63464,17.33289,24.80199,19.57741,22.82695,-4.829813e-05
22.39482,20.42639,19.30203,18.84331,18.59336,-0.0001382996
19.01365,17.61698,16.86044,16.47046,16.19296,0.08098383
23.96095,22.73661,21.12789,20.10041,19.80487,0.5621234
24.54746,22.87281,21.10642,19.97946,19.57866,0.6394988
21.97013,21.42615,20.82329,20.59101,20.38906,1.085212
21.57391,21.1104,20.82766,20.49759,20.41677,0.5033742
24.29854,22.39092,20.92126,19.77907,19.1416,0.0001106811
24.71545,21.16706,19.30268,18.63762,18.32849,0.3782375
23.56865,21.6243,20.85445,19.70203,18.97276,0.9559177
21.04943,20.8398,20.75757,20.56534,20.59401,1.585789
25.92508,22.21197,20.65753,19.67742,19.03847,0.562019
21.05734,20.77661,20.70296,20.34748,20.49554,1.545692
23.09422,21.87831,21.74367,21.49062,21.30885,1.246186
25.17412,22.43461,22.76815,21.72725,19.43258,-8.260131e-05
21.20374,19.04883,17.66331,17.17624,16.82166,0.2370338
20.86701,19.01777,17.61114,17.08546,16.69724,0.2379555
22.93713,21.13662,20.56618,20.34364,20.05847,1.248297
20.24767,18.46728,17.22793,16.68785,16.32293,0.1738527
20.35694,18.02721,16.92509,16.43734,16.06305,0.1210276
23.00592,22.92458,21.26695,20.17058,19.46955,0.6783194
25.11273,24.41496,22.05906,20.67218,19.9717,9.024792e-05
22.23445,21.97194,21.47232,21.14713,20.28168,0.6366645
24.37965,22.50236,21.10929,19.82678,19.21621,0.6523967
17.65019,16.5628,16.10578,15.92698,15.83271,0.0004007356
24.89146,22.36588,20.91191,20.23449,19.77226,-0.0001686542
22.50002,21.85313,21.88505,22.16946,21.25933,2.52723
21.86916,20.46934,18.7738,18.20731,17.87741,0.316691
20.36019,17.94133,16.82022,16.36679,16.10168,-3.536395e-05
23.13161,22.25529,20.6327,19.53986,18.97078,0.5248865
24.1563,21.53129,19.71148,18.90859,18.43652,0.4500091
25.82405,20.46387,18.78799,18.20313,17.83558,0.2894347
18.39329,17.18674,16.73671,16.42954,16.24563,0.07486051
24.16601,22.90202,21.84914,20.61893,19.79602,-0.0002705338
24.91631,22.75288,20.6709,19.60193,19.14895,0.5613748
22.89816,20.34652,18.69022,18.09656,17.70072,0.3421349
22.132,22.17691,20.18095,19.37993,18.81404,0.4886238
23.78056,22.03133,21.43815,22.04509,20.61054,0.1972609
21.38053,20.75913,20.68897,20.70006,20.18147,0.7798907
23.76538,21.1605,19.30702,18.6769,18.30675,0.3377986
21.39368,20.8917,20.60656,20.84181,20.36119,0.9686825
20.79674,18.4869,17.47272,17.11608,16.87571,-4.894168e-05
19.59041,19.42597,19.34645,19.16001,18.88423,2.046741
20.21275,19.82042,19.70313,19.43126,19.41917,1.596371
19.07563,17.47595,16.75371,16.44191,16.27391,-0.0003102534
18.40412,17.38291,17.01798,16.78219,16.64334,0.03757053
21.22368,21.14046,20.83608,20.8847,20.86318,0.9682177
17.75587,16.547,16.67694,16.7778,16.88097,-0.0005092606
18.66582,17.07443,16.84979,16.5805,16.36671,2.868036
19.11635,17.22273,16.25291,15.7783,15.43251,0.0551001
24.62821,21.80324,24.75433,20.30551,23.66498,-9.839553e-05
22.25801,22.98401,20.93667,19.58773,19.06791,0.6721215
21.31421,20.6223,20.11839,19.43823,19.15865,0.5832199
25.4549,22.64487,20.8444,19.86766,19.37886,0.4695272
20.0117,18.75871,18.21092,18.01063,17.89832,-0.0002816394
21.454,21.03906,20.93802,20.85191,20.6467,2.563806
23.88999,22.09512,20.5118,19.70295,19.30586,0.5079481
20.29769,18.70093,18.00567,17.72079,17.57863,-0.0001864259
21.31704,18.62226,17.36248,16.8538,16.5054,0.1709671
19.86851,17.96336,17.00095,16.57966,16.21913,0.09601726
26.4768,22.6937,21.22011,20.73955,20.00085,0.4858426
24.45513,21.67944,20.48121,19.76446,19.54405,0.4656352
22.58205,21.967,21.93457,21.6746,21.26276,1.938337
20.76753,19.53149,19.13612,18.9714,18.91595,-6.988894e-05
19.62584,19.65246,19.42886,19.41217,19.60493,1.34168
23.56827,22.26919,20.47286,19.6378,19.23373,0.5188918
25.85657,21.87689,19.97115,18.97383,18.29048,0.4697186
19.94193,18.09291,17.02174,16.53442,16.158,0.1353099
23.64136,22.89086,21.55069,20.13088,19.40567,0.690276
22.33022,21.8403,21.13992,20.73542,20.67913,0.4950626
22.54497,21.6213,21.27653,20.99454,20.75263,2.100695
22.18423,21.70466,20.60509,19.79349,19.43806,0.7023607
22.52164,19.22318,17.82781,17.14798,16.64722,0.1546752
21.08084,20.46692,20.37697,20.33504,20.06218,2.488199
20.7068,20.25003,20.1013,19.7085,19.55731,0.5770102
20.73051,20.70069,20.41309,20.38595,20.08219,1.049954
21.55687,21.15097,20.59827,20.22147,19.82828,0.5305927
22.13663,21.48363,21.19864,20.83597,20.19787,2.197414
22.03648,20.30962,18.70505,18.14447,17.76623,0.2646059
22.59483,21.68817,20.48313,19.21736,18.62614,0.0002266357
21.57518,20.89321,20.75615,20.71629,20.31932,2.564753
24.63465,21.75121,22.17325,21.40963,21.17336,0.1581207
17.86249,17.51179,17.30624,17.08473,17.01393,0.4910334
25.36532,22.0192,20.4554,19.48446,18.95306,0.4949653
23.03724,21.46758,20.09353,19.21297,18.74839,0.6104484
23.38384,22.56104,20.45711,19.52582,19.05988,0.4724951
19.10456,17.6723,16.83927,16.44493,16.13981,0.1276016
19.6446,19.45307,19.23848,18.90634,18.97539,1.526992
25.77605,22.86399,20.6944,19.31261,18.70563,0.7084675
19.48532,18.06647,17.50345,17.29197,17.16749,-8.507392e-05
20.58262,18.39272,17.29399,16.82568,16.57578,0.1028251
21.44391,19.85691,18.29176,17.70957,17.29655,0.2983981
22.08573,22.56037,22.02457,21.98904,22.3755,0.8955183
23.71777,22.34386,20.84336,19.72121,19.16043,0.5648126
23.72991,21.84417,19.6474,18.99894,18.6286,0.4416541
18.51328,18.07702,18.34397,18.36116,18.14049,1.133773e-05
17.27532,16.32034,15.97787,15.86811,15.82411,-0.0001739196
21.08739,21.03908,20.90387,20.85699,20.68201,2.096339
22.0404,20.76344,19.06065,18.41297,17.93489,0.2950843
24.06628,23.74271,21.77309,20.6814,19.7943,0.7832646
23.67285,22.81605,22.28144,21.85154,21.04109,0.9234022
20.24292,17.84017,16.86264,16.55452,16.35117,-0.0001550689
22.74316,21.22036,19.41209,18.58296,18.14473,0.4494552
23.04368,23.34979,22.40165,22.17069,20.84102,1.016458
21.31341,20.29255,20.1168,20.08948,19.73698,5.910236e-05
19.40231,18.42656,18.10738,17.99906,17.97566,-0.0003522841
25.45714,22.2693,21.64038,20.60458,19.71325,0.6780311
17.52829,16.53611,16.07037,16.06887,16.37925,0.008727961
23.32778,23.24265,20.81031,19.73437,19.21687,0.6165396
23.84902,22.26583,21.80329,21.32157,20.60372,0.2394434
22.69976,22.27019,21.01018,19.73642,19.19315,0.6892831
24.63853,21.20354,19.45916,18.75746,18.31718,0.3836434
22.49111,22.40689,21.8089,21.56678,20.50904,0.2961175
22.08824,21.45988,21.34987,21.21725,20.74238,6.865759e-05
19.14997,17.61808,16.89963,16.62778,16.46451,-0.0001892834
20.10338,18.13609,16.91908,16.46058,16.10926,0.1765345
22.9379,21.60049,20.01335,19.25459,18.7748,0.4596056
23.76405,22.12661,20.28193,19.45395,19.08055,0.4643938
20.6369,20.07852,19.96425,19.65538,19.37301,0.5636016
21.8473,21.69795,21.63636,21.21473,21.48865,1.543954
19.1502,19.00422,18.94931,18.62361,18.6799,1.761334
21.81434,20.62049,19.4472,18.90546,18.47413,0.2572768
22.01419,20.48792,18.86118,18.26359,17.80358,0.2808487
22.82894,22.00826,20.76534,19.86685,19.29862,0.6230285
23.44472,22.64783,21.80396,20.66421,19.75662,0.6839228
21.80428,21.58958,21.31922,21.12123,21.02769,0.9330583
25.37314,21.37999,19.56596,18.80015,18.30075,0.4384775
19.37258,18.64425,18.29087,17.91612,17.84384,0.07802058
25.35444,21.15872,19.55317,18.77072,18.26847,4.851646e-06
23.06913,22.07614,21.68895,20.71865,20.50492,0.7426184
22.88022,21.52934,20.01244,19.18197,18.70032,0.4974764
25.00458,22.09311,21.30518,20.4219,20.76145,0.5872973
19.40688,17.47239,16.43795,16.00779,15.64682,0.1253108
22.89183,21.06642,20.51371,20.05855,19.66632,6.331209
19.3735,17.94937,17.37781,17.15826,17.03758,-0.0002498445
21.86208,21.6336,21.59477,21.25034,21.05219,2.042715
22.17866,21.57474,20.969,20.74142,20.97344,0.4567456
22.08244,22.38375,21.48721,20.44039,19.76316,0.8308055
23.39584,22.42601,20.66271,19.61636,19.35649,0.550594
25.17729,22.31617,20.83458,19.97853,19.72413,0.458876
25.41453,22.39896,20.80728,19.36864,18.53642,0.0002686932
24.11639,22.95491,22.58509,22.27245,22.10023,1.245075
20.93438,18.59992,17.2773,16.74109,16.34542,0.2070153
22.87797,21.65133,21.60413,21.40114,21.38907,-0.0005795451
20.2451,18.51134,17.42889,16.92394,16.52451,0.1137457
20.97132,20.22688,19.9899,19.91489,19.66603,2.537387
20.45898,18.38556,17.25377,16.78768,16.46154,0.1475236
21.30228,20.85004,20.54903,20.32444,19.90824,0.7080154
23.37806,21.20498,20.75764,20.63103,20.73472,-9.056042e-05
20.78375,20.70298,20.41533,20.47812,20.61472,1.173964
23.86987,21.02009,19.19411,18.56227,18.21389,0.4001003
19.79912,17.79474,16.65156,16.15771,15.83012,0.1542336
20.57325,18.49463,17.56024,17.05359,16.67385,0.103778
19.00944,17.08614,16.03982,15.59759,15.22463,0.1166926
19.94201,18.15882,17.11497,16.70128,16.40437,0.1500876
24.06328,21.9903,20.15725,19.29568,18.80009,0.41065
23.42383,22.79313,22.23577,21.57393,20.93619,0.7304799
23.31479,22.15801,21.75785,21.39317,20.9808,1.350677
18.45709,17.05875,16.56312,16.35972,16.28534,0.0002912989
21.85581,22.12316,21.68692,21.7956,21.1627,0.3054548
23.29472,22.32929,20.71707,19.5907,19.01756,0.5233565
25.95413,22.14836,20.31723,19.42632,19.06113,0.4926842
22.22449,21.42901,19.94115,19.12314,18.69961,0.4631592
22.63064,21.40241,19.53685,18.88496,18.48837,0.3601549
18.84187,17.65586,16.90377,16.45579,16.15825,0.141341
22.79643,22.19842,21.28479,20.29379,19.61825,0.8909606
20.77202,18.89083,17.86386,17.42974,17.10289,0.1150103
24.77148,22.55099,20.8736,19.8364,19.4911,0.5450483
21.32502,20.94146,21.17206,20.94764,20.7476,0.7319112
22.45802,22.20606,22.0626,21.66161,22.24689,1.607139
25.99649,21.01249,19.0012,18.22184,17.72931,0.3592728
23.29937,22.7683,21.29616,19.44933,18.43382,8.205888e-05
17.58568,16.36659,15.95651,15.80605,15.77214,-0.0001887972
24.37934,20.90267,19.13041,18.51361,18.11628,0.2975227
25.18733,22.41401,21.45098,19.95744,20.47133,8.12003e-05
23.04204,21.51772,19.65867,18.95037,18.38789,0.4111408
17.03669,15.26942,14.45516,14.04161,13.73495,0.02769466
26.37853,21.31739,20.00815,19.73191,19.89529,3.985535
22.98479,21.51901,19.70883,19.10476,18.70736,0.3714629
20.67541,20.46715,20.27621,19.99781,19.80905,1.943811
23.28792,21.37583,19.63661,18.92558,18.47926,0.3754822
24.06136,21.08086,20.82272,20.16796,19.93058,1.617416
23.42501,21.75207,19.96868,19.06355,18.5272,0.4633169
25.01484,22.1182,20.47009,19.63409,19.13788,0.4702791
20.08171,18.61763,17.99994,17.76841,17.61713,-0.0001714036
21.36783,21.29187,20.90474,20.84324,20.94485,1.387662
22.37585,22.31685,21.36916,21.50629,20.93328,1.225603
24.59101,24.3524,21.81186,20.67412,19.92826,0.598773
21.20919,20.33297,20.08568,19.97076,19.85053,0.0002616977
25.49185,22.08342,20.43335,19.54472,18.98608,0.4746404
20.80334,19.45964,18.14311,17.56365,17.22118,0.2242091
19.14356,17.83241,17.35791,16.97579,16.65387,0.1233364
22.55291,21.99066,21.89696,21.72324,21.46331,2.040881
23.31382,23.00444,21.61243,20.48487,19.78729,0.6171242
23.47221,22.92736,22.04414,21.44685,20.6848,0.917678
21.06157,20.79873,20.75358,20.62082,20.52836,1.91824
21.85381,22.3319,21.77428,20.45382,19.26439,0.5944265
20.36344,18.17934,17.13868,16.7066,16.35827,0.1317075
18.19592,17.05038,16.5699,16.39941,16.33051,-0.0001987087
21.14314,20.67674,20.70558,20.61953,20.64399,-8.794586e-05
25.72568,21.80042,20.18962,19.18353,18.78088,0.5460579
24.15313,21.74644,20.39248,19.5346,19.00517,0.5240031
22.30664,23.61715,21.58804,20.40432,19.53021,0.6514543
22.95863,21.76989,20.30044,19.27538,18.79421,0.6130745
22.45754,21.67132,21.17583,21.09067,21.27051,-0.000389272
22.45257,21.68775,21.56911,21.13738,20.18044,0.8339214
19.9143,18.69158,18.21299,18.3722,17.93358,4.669852e-05
21.90692,19.97327,18.40191,17.84248,17.40689,0.2870167
24.28839,22.63521,20.9699,19.9077,19.50421,0.5329108
19.29471,18.0265,17.42794,17.09021,16.87382,0.1024664
20.8339,19.76504,19.74287,19.80724,19.92852,0.7751916
21.23769,20.19604,20.22658,20.39975,20.19638,-0.0005870899
24.82878,22.87833,21.12726,20.05205,19.30412,0.5550939
22.83865,22.53016,20.4919,19.29955,18.71902,0.6052935
20.82542,18.85371,17.4572,16.9591,16.66542,0.2052059
19.67333,19.4618,19.24023,18.84024,18.78913,1.902702
23.05629,21.88061,20.27789,19.44448,19.03992,0.4879464
22.36055,21.59876,21.5503,21.8609,21.51599,0.04182117
24.37581,21.94703,20.26144,19.34301,18.92448,0.4944998
21.19183,19.79084,18.02876,17.28752,16.86997,0.422848
25.61855,22.16966,21.3679,20.52692,19.86203,0.538325
23.85143,21.47732,19.99641,19.05324,18.47672,-1.629611e-05
17.51971,16.52431,16.20435,16.08471,16.04791,0.0006510172
21.61923,21.47764,21.2361,21.35765,20.38823,0.9415981
19.11833,17.94442,17.20231,16.7494,16.47732,0.1550709
18.6885,17.16897,16.61439,16.3911,16.32424,-0.0001316196
21.02278,20.43967,20.2827,19.72014,19.45318,0.468355
23.88357,22.26052,21.11913,20.45884,19.97363,0.1323
19.19747,17.72919,17.05325,16.71684,16.5383,-0.0004903403
26.73209,21.7474,20.2796,19.26034,18.90738,0.5677487
26.19874,23.50198,20.28155,18.97113,18.47616,0.6960551
23.37335,21.70201,20.19634,19.39189,19.02349,0.3168463
25.49762,24.19562,21.66837,20.62935,19.77243,0.7845584
20.34806,20.30241,19.98348,19.9007,19.83233,1.315843
22.24131,21.49451,20.52213,19.76735,19.31166,0.5817709
23.80449,21.26615,19.50288,18.81281,18.46361,0.3769958
20.70395,19.73923,19.52391,19.47495,19.40947,0.0001781982
22.72734,23.68506,22.23159,21.06225,19.98599,0.6419454
21.01684,20.54368,20.01822,19.36685,18.92462,0.5600578
20.49636,20.50748,21.01707,20.09168,22.82692,0.316453
23.02797,21.08627,19.50833,18.70627,18.3644,0.470977
24.50246,21.59281,21.4654,21.81862,21.14377,0.0005981048
19.18308,19.1301,18.60544,18.3704,17.86223,0.3317085
20.54296,19.75757,19.36625,19.22388,18.80315,0.8915517
19.59831,17.95528,17.47534,17.19168,17.0209,0.03273446
24.36968,25.0379,22.6727,20.95238,19.96165,0.734103
23.07805,23.21379,22.71812,22.10055,21.30676,0.8796511
20.92843,20.61223,20.54838,20.25551,19.88547,1.674154
25.92829,23.6733,21.72764,20.69231,19.9704,0.7979634
21.71569,21.47282,21.46522,21.36723,21.38913,0.000158868
26.45391,22.25103,20.67405,19.43634,18.72469,0.713909
25.27643,23.07482,21.0284,19.9598,19.32147,0.5280798
22.36009,21.11481,19.87991,19.07296,18.54324,0.5794563
23.25691,22.72931,22.06016,21.23704,20.69071,0.9328507
21.51119,18.93934,17.40896,16.87436,16.55948,0.2266647
17.3416,15.37315,14.42012,13.93504,13.5947,0.04174666
20.58411,18.61633,17.48465,16.96846,16.5189,0.1483722
18.59563,17.59386,17.04092,16.65982,16.40322,0.1143771
20.75454,19.64532,19.45878,19.42225,19.44594,-8.476327e-05
22.79367,21.19684,20.8822,20.74928,20.15738,-0.001398197
21.77366,19.38787,17.98444,17.46471,17.15059,0.2587617
24.63329,22.08749,21.73453,21.96616,21.42449,3.154392
22.37664,20.71036,18.95948,18.29263,17.88608,0.3703412
23.25058,22.40136,22.15151,21.2098,21.42184,0.8212107
21.93466,21.41905,20.64947,19.61418,19.41941,0.7360098
23.88881,23.00394,21.23773,20.19533,19.7374,0.5900534
19.73687,17.70051,16.65715,16.16973,15.78573,0.09987828
20.4002,19.47552,18.88309,18.46117,18.29379,0.1393329
24.52994,21.8966,20.41263,19.24254,18.631,0.5811359
17.28461,16.45497,16.17674,16.06779,16.01926,-9.069996e-05
22.56921,22.06142,20.49085,19.22755,18.45662,0.7041179
21.96435,20.92395,20.80479,20.77792,20.74679,-0.0005762023
24.41013,22.64222,21.46224,21.4327,21.56121,3.900482
20.26302,18.47343,17.46549,17.02115,16.68418,0.1322544
21.12838,19.68453,19.07332,18.84683,18.63505,-0.0001016065
23.21577,21.08619,19.31712,18.61915,18.1128,0.4366511
19.18837,18.09014,17.65723,17.39765,17.25895,0.0797501
26.46116,23.41131,23.1138,21.48529,19.85486,1.818033
22.94485,22.51396,20.53006,19.61983,19.14771,0.4768209
16.99222,15.77348,15.36945,15.2455,15.20618,-0.000155127
21.9493,21.3961,21.24385,21.05396,20.87768,0.7730362
26.65021,21.67358,20.13021,19.36444,18.9684,0.4439754
20.05928,18.17604,17.19249,16.80424,16.51783,0.1678967
25.33992,23.05612,21.5497,20.41636,19.47162,0.9226736
24.5451,22.29705,21.13853,19.8053,19.2517,0.7992292
24.28223,22.29621,20.49795,19.59622,18.9919,0.4783979
22.24552,20.05589,18.54431,17.94176,17.51898,0.2647333
19.7487,18.8996,18.52977,18.38607,18.28692,7.119156e-05
18.68834,17.45821,16.82047,16.4297,16.18686,0.1064154
23.19284,20.38319,18.73534,18.16206,17.75271,0.2891051
21.01764,20.80614,20.91635,20.77558,20.43105,1.812751
22.57292,21.84013,22.03639,21.11503,20.72848,0.7200233
19.44911,19.27234,19.16984,19.0589,19.28059,1.467658
21.90422,21.60337,20.99679,20.68941,21.19962,0.5402552
23.4665,22.24821,20.46191,19.55292,19.11046,0.5190951
18.43972,17.20356,16.63969,16.29988,16.11602,0.07617746
22.03703,20.72489,20.01739,19.43014,18.84448,0.3802636
21.42012,21.06286,20.65785,20.53384,20.49037,1.10059
26.83346,20.85205,19.14259,18.45236,17.98901,0.3977473
21.7937,21.77506,21.60675,21.48183,21.08261,2.083036
23.54141,21.49399,21.11963,21.11713,20.97123,0.0004755414
24.40925,21.78949,20.23735,18.89956,18.25135,0.000128221
19.12329,17.76476,16.92386,16.43629,16.11615,0.1426075
22.37209,20.30864,19.53792,19.11604,18.83304,-0.0002786019
20.14468,18.25585,17.08372,16.59708,16.23867,0.1663633
18.3456,17.40488,17.0273,16.86845,16.83474,-0.0002298448
21.24595,20.74761,20.50873,20.4716,19.89093,2.52766
21.19443,20.25142,19.11131,18.59843,18.16221,0.34194
19.09228,17.81513,17.28486,17.08788,16.98348,1.28872e-05
24.04594,21.07116,19.29764,18.62193,18.1839,0.3812449
24.06318,21.53872,21.18327,21.09321,20.54653,2.998869
23.73184,21.53867,20.35334,19.58373,19.13838,0.4818166
23.15579,21.05247,19.20071,16.86957,15.60532,-0.0001141006
24.64368,23.30077,21.46318,20.33908,19.644,0.662818
20.9118,20.81647,20.64904,20.17727,20.03477,0.0
20.10929,18.69008,17.85731,17.36862,17.07873,0.1104716
18.82427,17.69289,17.23438,16.91002,16.77675,0.07392463
20.40272,20.11635,19.91913,19.81687,19.4336,2.088398
18.6018,17.55751,17.25207,17.13934,17.14592,-8.698698e-06
17.31226,15.4499,14.57047,14.13873,13.79796,0.03540775
19.57332,18.48554,17.80049,17.43977,17.23804,0.1924052
25.93617,21.11402,19.32113,18.62971,18.27261,0.3353208
19.76901,18.12825,17.39384,17.06208,16.86848,2.926981e-05
24.86664,22.68731,21.47337,20.38428,19.7484,0.6602218
24.55781,21.44656,19.996,19.21124,18.7745,0.4615467
24.35291,21.95259,21.88003,21.64938,22.31645,-2.976523e-06
24.53998,23.89741,21.49496,20.35769,19.5569,0.8213177
22.8658,21.73969,19.81057,18.86114,18.37331,0.4700521
25.71259,22.75668,21.24299,20.13544,19.74037,0.6254374
21.25025,20.77611,20.65251,20.57525,20.35915,1.527138
23.72325,20.48652,18.82667,18.19914,17.75388,0.2668794
22.3131,21.51784,21.09151,21.03825,21.78153,-0.0009266027
22.87246,21.731,20.51777,19.62182,19.75512,0.5802744
23.25852,24.44392,21.99416,20.74866,19.84704,0.7044387
22.64029,21.86101,21.83838,22.21094,21.78464,2.263692
21.17832,19.82098,18.87934,18.36225,17.94871,0.1831529
22.23246,21.26081,20.78374,20.70882,20.41496,1.174477
23.33323,21.52923,19.86937,19.23862,18.93825,0.3879448
25.24933,22.19803,20.51696,19.58985,19.09833,0.474975
25.82384,21.59002,19.99936,19.22953,18.65412,0.4328932
20.57447,18.55162,17.3224,16.85407,16.51499,0.1862015
18.34949,16.48376,15.58965,15.1471,14.8145,0.05958883
24.6151,22.15677,19.79453,19.07754,18.54199,0.4640578
23.3828,24.34698,22.04143,21.01646,19.96124,0.7837985
25.495,22.5469,20.83806,19.894,19.35523,0.5095786
23.59474,22.25401,20.8581,19.64968,19.09012,0.6160861
19.86044,18.42816,17.75698,17.43333,17.2611,0.05178925
23.70224,21.20604,19.99651,19.41796,19.06021,0.3098126
17.9757,16.0861,15.21747,14.79026,14.44876,0.07067616
19.03401,18.71539,18.64801,18.74579,18.61613,0.8557808
21.93216,21.68923,22.25125,21.69089,21.11213,2.123283
21.1996,20.89599,20.8361,20.74766,20.48955,1.713535
21.24336,20.94128,20.69045,20.64161,20.46862,2.524828
18.67114,17.056,16.36798,16.04294,15.86241,-5.899171e-05
20.40133,19.71553,19.61283,19.56112,19.30861,2.281781
22.63773,22.26291,21.90526,21.78175,21.12831,1.456788
24.34864,19.59356,18.9231,18.76567,18.75218,3.432171
22.16122,21.34185,20.02146,19.67589,19.19769,0.3349623
21.63662,21.1218,19.45367,18.61278,18.15092,0.4636964
21.89453,20.68909,19.50562,18.75694,18.22394,-0.0004049772
26.16372,23.35627,21.43388,20.14461,19.69472,0.6603528
20.83485,20.28037,19.82153,19.68873,19.72992,1.114335
20.33282,20.05996,19.86782,19.81746,19.83264,1.411294
22.13659,21.42705,20.95342,20.86872,20.74096,-0.0004172846
18.11034,16.65678,15.88098,15.45752,15.16152,0.09509417
21.03844,20.7848,20.61744,20.47967,20.25853,0.9320788
22.96843,21.7099,20.05953,19.46496,19.16391,0.2982556
18.53725,17.56085,17.13533,16.96151,16.86611,0.001268218
22.78255,21.70604,20.2703,19.46543,18.86425,0.5391176
25.97413,22.3401,20.22832,19.29463,18.82959,0.5440196
21.65384,21.60983,21.55972,20.53251,20.75691,0.8503594
20.23229,19.16673,19.0631,19.08741,19.06846,-0.001263339
